RowID	Verdict	Notes
1399	INVALID	Supplier: ironing board clips PK3; Amazon bundle includes ironing board cover + clips (product type mismatch)
1415	LIKELY VALID	ExtraStar extension lead 6 gang 1m white titles align; Amazon EAN present only
1416	LIKELY VALID	ExtraStar extension lead 6 gang 1m black titles align; EAN missing
1423	LIKELY VALID	Blue Canyon round wall mirror white (40cm) matches; EAN missing
1434	LIKELY VALID	Rolson claw hammer 8oz matches; EAN mismatch
1445	INVALID	Size mismatch: supplier \"24MMX50M\" vs Amazon \"48mm x 33m\"
1447	VALID	Exact EAN match (carafe) despite 0.5L vs 580ml rounding
1460	LIKELY VALID	Amtech pointing trowel 150mm (6\") matches; EAN missing
1461	NEEDS REVIEW	Supplier includes \"& REFILLS 3PCS\"; Amazon title appears brush-only (pack/component mismatch)
1469	VALID	Exact EAN match + same product (40 doyleys ~21/22cm)
1472	LIKELY VALID	Rolson plastering trowel 280mm; minor 115 vs 120mm spec difference (EAN mismatch)
1498	LIKELY VALID	Kilner preserve jar 0.25L matches; Amazon EAN missing
1502	VALID	Exact EAN match + same product (Tala cocktail sticks 200)
1521	LIKELY VALID	Falcon round pie dish 26cm titles align; EAN missing
1522	VALID	Exact EAN match + same product (House Mate stainless steel cleaner 400ml)
1528	VALID	Exact EAN match + same product (Highland cow plaque friends)
1550	VALID	Exact EAN match + same product (Robin LED gel candle)
1565	VALID	Exact EAN match + same product (Christmas robins laptray)
1570	NEEDS REVIEW	Amazon explicitly \"2 x 150ml\"; supplier sold each (multipack vs single)
1575	VALID	Exact EAN match + same product (ProDec caulker 12 inch)
1587	NEEDS REVIEW	Amazon explicitly \"2 x 250ml\"; supplier sold each (multipack vs single)
1597	VALID	Exact EAN match + same product (Elliott window squeegee 20cm)
1603	VALID	Exact EAN match + same product (Blue Canyon square plastic mirror; \"2x\" is magnification feature)
1604	LIKELY VALID	Chef Aid pastry brush titles align; EAN mismatch
1623	LIKELY VALID	Mum & Dad memorial plastic spike/vase titles align; EAN mismatch
1634	VALID	Exact EAN match + same product (Quick Click mouse trap 2pk/twinpack)
1647	LIKELY VALID	MasterClass salt/pepper mill black 17cm titles align; EAN mismatch
1663	VALID	Exact EAN match + same product (Elliott brown glass spray bottle 480ml)
1668	LIKELY VALID	Baker & Salt loose-based round cake tin ~23cm/9inch (unit conversion; EAN missing)
1671	NEEDS REVIEW	Generic \"incense box\" vs Amazon branded storage box (brand/design uncertain)
1681	LIKELY VALID	ExtraStar extension lead 2 gang 2m white titles align; EAN missing supplier-side
1693	NEEDS REVIEW	Supplier doesn't state color; Amazon listing specifies \"Pink\" (variant uncertainty)
1694	LIKELY VALID	Supplier explicitly \"PINK\" 9ft banner; Amazon matches (EAN mismatch)
1695	LIKELY VALID	Harris putty knife titles align; EAN missing
1699	INVALID	Size mismatch: supplier \"250ML\" vs Amazon \"1 Litre Tub\"
1707	VALID	Exact EAN match + same product (Blue Canyon vector shower spray)
1722	VALID	Exact EAN match + same product (Chef Aid 18cm strainer/sieve)
1727	VALID	Exact EAN match + same product (Mason Cash 16cm dish; rect/square wording differs)
1728	LIKELY VALID	Fairy soap dispensing dish brush titles align; EAN mismatch
1734	INVALID	Capacity mismatch: supplier \"4.1LTR\" vs Amazon \"3 L\"
1742	INVALID	Pack/brand mismatch: supplier \"28 PACK\" vs Amazon \"24 Pack\" (Fireglow)
1745	VALID	Exact EAN match + same product (robin memorial lantern \"Someone Special\")
1749	INVALID	Teapot mismatch: supplier \"2 CUP\" + navy vs Amazon \"6 Cup\" + black
1751	LIKELY VALID	Rolson chalk line layout set 3pc titles align; Amazon EAN missing
1752	VALID	Exact EAN match + same product (alpina whiskey decanter)
1758	NEEDS REVIEW	Amazon specifies \"Lemon\" variant; supplier title generic (variant uncertainty)
