RowID,Category,Confidence,EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,sales,Sup_Qty,Amz_Qty,Qty_Ratio,Adjusted_Profit,Pack_Verdict,Key_Match_Evidence,Filter_Reason,is_exact_ean_strict,title_match
11,EXCLUDED,30,4894158018552,nan,B0DNSWBYMZ,FESTIVE MAGIC BELLS 8PC ASSORTED,"Hazel Quinn x Eduardo Recife 2-Slice Toaster, 6 Browning Levels, Defrost/Reheat/Cancel Functions, Removable Crumb Tray for Easy Cleaning, 1.5-Inch Extra-Wide Slots, Retro Style Collaboration",0.672,69.99,41.565,0.374459459459459,50,1.0,1.0,1.0,41.565,1:1 Match,Weak evidence,Insufficient match evidence,False,0.1981981981981982
12,EXCLUDED,30,5414886287533,nan,B0002HZPUG,EASY STORAGE VACUUM BAG 70X100CM,John Deere Ride-on Tractor with Loader and Detachable Trailer,1.476,114.99,65.675,0.368960674157303,100,1.0,1.0,1.0,65.675,1:1 Match,Weak evidence,Insufficient match evidence,False,0.1935483870967742
13,EXCLUDED,30,5050565743725,nan,B0FGCSDMBW,CEMENT FLOWER POT WITH SUCCULENT CIRCLE 3 ASSORTED,"Sewing Machine for Beginners â€“ Portable Electric with 12 Built-In Stitch Patterns, 6 Presser Feet, Foot Pedal, 2-Speed Control, Fast Sewing for Clothes, Fabrics, DIY & Home Use",0.804,74.99,44.6016666666666,0.365587431693989,100,1.0,1.0,1.0,44.6016666666666,1:1 Match,Weak evidence,Insufficient match evidence,False,0.2631578947368421
14,EXCLUDED,30,5012904000425,659381335623,B0FLXV5TG6,CHEF AID MINI SPOUT BRUSH,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",1.032,81.98,51.4166666666666,0.36465721040189103,50,1.0,1.0,1.0,51.4166666666666,1:1 Match,Weak evidence,Insufficient match evidence,False,0.10232558139534884
15,EXCLUDED,30,5055706641151,717710483480,B0FGHZB8FM,PROKLEEN SPUNLACE FLOOR MOP & HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",2.088,129.0,82.42,0.359912663755458,50,1.0,1.0,1.0,82.42,1:1 Match,Weak evidence,Insufficient match evidence,False,0.09691629955947137
16,EXCLUDED,30,5012904018475,nan,B0FLXV5TG6,TALA STAINLESS STEEL TOWEL HOLDER,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",1.164,81.98,54.1391666666666,0.35617872807017503,50,1.0,1.0,1.0,54.1391666666666,1:1 Match,Weak evidence,Insufficient match evidence,False,0.17937219730941703
17,EXCLUDED,30,5055297302240,717710483480,B0FGHZB8FM,PLUNGER BUFFALO MINI PLUNGER,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",2.196,129.0,82.33,0.345924369747899,50,1.0,1.0,1.0,82.33,1:1 Match,Weak evidence,Insufficient match evidence,False,0.1278538812785388
18,EXCLUDED,30,5030017011138,nan,B0FB36DTHD,PANASONIC UPRIGHT   SDB113,"ElecKeys Cordless Vacuum Cleaner,65 Mins 580W 48KPa 1.8L Vacuum Cleaners for Home,Self-Standing Anti-Tangle Vacuum,Handheld Vacuum Cleaner Rechargeable Wall-Mounted for Carpets Floors Pet Hair",2.616,144.99,90.505,0.331520146520146,300,1.0,1.0,1.0,90.505,1:1 Match,Weak evidence,Insufficient match evidence,False,0.09174311926605505
19,EXCLUDED,30,5012213580601,nan,B08KYJWQPV,TOM SMITH CHRISTMAS CARDS LUXURY SLIM FOLIAGE TEXT,Nilfisk Core 130 Bar High Pressure Washer with Power Control - Mini Power Washer for Patios and Car Cleaner (1500 W),2.016,104.67,69.50125,0.311664798206278,50,1.0,1.0,1.0,69.50125,1:1 Match,Weak evidence,Insufficient match evidence,False,0.25301204819277107
20,EXCLUDED,30,5013922057019,nan,B0DB7DGKFK,PARTY CRAZY BALLOONS ASSORTED 20,"KODAK 10.1 Inch WiFi Digital Picture Frame with 32GB Storage, Electronic Smart Digital Photo Frame 1280x800 IPS Touch Screen, Auto-Rotate, Share Moments Instantly Gifts for Women Mothers Day Christmas",0.852,60.34,39.0708333333333,0.310085978835978,100,1.0,1.0,1.0,39.0708333333333,1:1 Match,Weak evidence,Insufficient match evidence,False,0.04310344827586207
21,EXCLUDED,30,5038673411309,nan,B0FM3GQ9VQ,PRIMA PET BALL LAUNCHER 50CM,"Pet Prime Automatic Ball Launcher for Large Dog, Rechargeable Cordless Interactive Ball Thrower Toy with Random Distance, Fetch Machine with 6 Durable 2.5"" E-TPU Balls & Dog Whistle",1.344,86.69,50.4016666666666,0.301806387225548,50,1.0,1.0,1.0,50.4016666666666,1:1 Match,Weak evidence,Insufficient match evidence,False,0.21052631578947367
22,FILTERED,40,5050565569936,nan,B0DL47ZJR2,PAPER EASTER 10 PLATES 7 INCH,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",0.744,50.99,32.5379166666666,0.278101851851851,100,1.0,487.0,487.0,-329.0460833333334,BUNDLE (487x) - LOSS,-,Unprofitable: Adj Profit=£-329.05,False,0.10752688172043011
23,EXCLUDED,30,5900627061383,198153749706,B0DRPCJDWW,AIRWICK CANDLE VANILLA & BROWN SUGAR 105G PK6,Lenovo Idea Tab Pro Android Tablet | 12.7 inch Full HD Display | MediaTek Dimensity 8300 | 128GB | Wi-Fi 6 | 8GB RAM | Luna Grey + Pen,10.7399999999999,354.99,258.235,0.27182631578947297,300,1.0,1.0,1.0,258.235,1:1 Match,Weak evidence,Insufficient match evidence,False,0.18994413407821228
24,EXCLUDED,30,5055706641182,717710483480,B0FGHZB8FM,PROKLEEN CHENILLE FLOOR MOP & EXTENDABLE HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",3.024,129.0,81.64,0.265928338762215,50,1.0,1.0,1.0,81.64,1:1 Match,Weak evidence,Insufficient match evidence,False,0.13445378151260504
25,EXCLUDED,30,5060082728884,653391672419,B0734R66B4,DLUX WASHING BAG,"Tevlaphee Steering Wheel Lock, Steering Lock, Car Anti-Theft Device, Adjustable, Universal Fit, Heavy Duty Secure, 3 Keys, Emergency Hammer Window Breaker(Black)",0.852,48.81,33.315,0.26440476190476103,100,1.0,1.0,1.0,33.315,1:1 Match,Weak evidence,Insufficient match evidence,False,0.11299435028248588
26,EXCLUDED,30,6923456804005,nan,B09WDKDVZC,CAPPUCCINO CUP,"Tevlaphee Steering Wheel Lock with Alarm, 120dB, Wheel Spoke Width â‰¤2.75in, Battery Required, Crook Locks for Cars, Car Lock Anti-Theft Device, Heavy Duty",0.936,57.64,35.0733333333333,0.263709273182957,100,1.0,1.0,1.0,35.0733333333333,1:1 Match,Weak evidence,Insufficient match evidence,False,0.058823529411764705
27,EXCLUDED,30,8414926510185,nan,B0DN6BWS36,SQUARE CANISTER CLASSIC 1.6L SURT VRM,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",2.508,99.99,65.77625,0.249152462121212,50,1.0,1.0,1.0,65.77625,1:1 Match,Weak evidence,Insufficient match evidence,False,0.1320754716981132
28,EXCLUDED,30,8711252476247,nan,B0FHK2CM5W,DUNLOP BIKE BRAKE CABLE INNER CABLE,"Peradix Wooden Chess Set, 19"" Large Foldable Chess Board Game with 3.75"" King & 2 Extra Queens, Professional Classic Chess Set for Adults and Kids",0.708,49.99,27.8683333333333,0.24445906432748502,100,1.0,1.0,1.0,27.8683333333333,1:1 Match,Weak evidence,Insufficient match evidence,False,0.19889502762430938
29,EXCLUDED,30,5056170355988,nan,B0D25HS86F,CHRISTMAS VELVET COLOURING SET 2PC,"KableRika LED Desk Lamp for Office, Double Head Desk Lamp with Base, Dimmable Architect Desk Light, Eye Caring Monitor Light Bar with Timer, Task Lamp for Work Study Read Home Office Lighting",0.6,39.99,24.86625,0.236821428571428,200,1.0,1.0,1.0,24.86625,1:1 Match,Weak evidence,Insufficient match evidence,False,0.1511111111111111
30,EXCLUDED,30,6923456812901,198715902921,B0DK877SSC,PLATE 10.5 INCH ASSORTED,EVER ADVANCED Luxury Camping Chairs for Adults Heavy Duty Loadable 150kg High Back Oversized Folding Garden Chair Padded 6cm Comfy with Cup Holder Side Pocket Dining Chairs 4-Position Recliner,0.672,49.99,26.1283333333333,0.23539039039038998,50,1.0,1.0,1.0,26.1283333333333,1:1 Match,Weak evidence,Insufficient match evidence,False,0.1574074074074074
31,EXCLUDED,30,5016574137825,nan,B0DN6BWS36,LYNWOOD MINI ROLLER SET 5PACK,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",2.82,99.99,65.51625,0.225918103448275,50,5.0,1.0,0.2,67.77225,SPLIT (1/5) - OK,Weak evidence,Insufficient match evidence,False,0.19607843137254902
32,EXCLUDED,30,5050565712875,nan,B0D62LX8W5,SNOW WHITE CHRISTMAS RIBBON  SILVER,OLEVS Watches for Men Stainless Steel Analog Quartz Waterproof Luminous Luxury Dress Date Diamond Business Casual Mens Wrist Watchï¼ˆGold/Blue/Black/White Dialï¼‰,0.876,45.77,28.7304166666666,0.224456380208333,100,1.0,1.0,1.0,28.7304166666666,1:1 Match,Weak evidence,Insufficient match evidence,False,0.14213197969543148
33,EXCLUDED,30,5050565512352,nan,B0D62LX8W5,LOVE SCENTED WAX MELTS,OLEVS Watches for Men Stainless Steel Analog Quartz Waterproof Luminous Luxury Dress Date Diamond Business Casual Mens Wrist Watchï¼ˆGold/Blue/Black/White Dialï¼‰,0.804,45.77,27.2816666666666,0.22362021857923403,100,1.0,1.0,1.0,27.2816666666666,1:1 Match,Weak evidence,Insufficient match evidence,False,0.13043478260869565
34,EXCLUDED,30,5056239432094,nan,B0FPXDNJ1T,SPRAY ADHESIVE HEAVY DUTY 500ML,LEGO | Marvel Iron Man Mark 3 Collectors' Edition Figure - Avengers Display Model Kit for Adults - incl. a Minifigure & Arc Reactor - Collectible Gift for Fans - 76344,3.36,119.97,74.475,0.22231343283582,200,1.0,1.0,1.0,74.475,1:1 Match,Weak evidence,Insufficient match evidence,False,0.16161616161616163
35,EXCLUDED,30,5038673190075,8700216280167,B0CM3SM41B,PRIMA DINNER PLATE FLOWER DESIGN 26.5CM,"Gillette Intimate Trimmer i5 - Pubic Hair & Body Groomer for Men, SkinFirst Waterproof Manscaping Trimmer, Cordless Wet/Dry Body Hair Shaver for Private Parts & Sensitive Areas",1.704,70.19,42.8916666666666,0.217724196277495,300,1.0,1.0,1.0,42.8916666666666,1:1 Match,Weak evidence,Insufficient match evidence,False,0.13953488372093023
36,EXCLUDED,30,11179373161,nan,B0FP2P7WNL,UNIQUE CANDLE NUMBER W/DECOR 6,"Lehoo Castle Dino Construction Truck Sit and Spin Toys for Toddlers 1-3 Boys, 360Â° Toddler Spinning Seat with Lights and Music, Sensory Toys Christmas Birthday Gift for Kids Age 2 3 4 5",0.708,45.99,24.655,0.21627192982456098,300,1.0,1.0,1.0,24.655,1:1 Match,Weak evidence,Insufficient match evidence,False,0.18518518518518517
37,EXCLUDED,30,5050796011778,nan,B0C7FJY9SL,BRIGHT & HOMELY STAINLESS STEEL SCOURER 4 PIECES,"Pristar Remote Control Car Hand Gesture Controlled Car, 1:14 RC Stunt Auto 360Â° Rotation 3 Control Methods 2.4 GHz Drift Glove Controlled Cars Gift Toy for Kids Boy Girls Age 5 6 7 8 9 10 11 12",0.744,42.99,24.965,0.21337606837606798,400,4.0,1.0,0.25,25.523,SPLIT (1/4) - OK,Weak evidence,Insufficient match evidence,False,0.21487603305785125
38,EXCLUDED,30,5019923202892,nan,B0CQP7TT72,SECURPAK POZI COUNTERSUNK SCREWS ZP 5X60MM,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",0.792,39.99,24.70625,0.20418388429752,50,1.0,1.0,1.0,24.70625,1:1 Match,Weak evidence,Insufficient match evidence,False,0.1958762886597938
39,EXCLUDED,30,5055441463407,609613846212,B00YA95TZI,DEKTON MASONRY DRILL BIT 5MM X 85MM,Mydome Light Switch Timer â€“ Police Approved Retro Fit Timer Switch - A No Wiring Home Security Lighting & Burglar Deterrent,0.48,32.99,19.2516666666666,0.202649122807017,200,1.0,1.0,1.0,19.2516666666666,1:1 Match,Weak evidence,Insufficient match evidence,False,0.2
40,EXCLUDED,30,11179859771,nan,B0CQP7TT72,HAPPY 6TH BIRTHDAY BANNER BLUE 9FT,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",0.804,39.99,24.69625,0.202428278688524,50,1.0,1.0,1.0,24.69625,1:1 Match,Weak evidence,Insufficient match evidence,False,0.22580645161290322
41,EXCLUDED,30,5052578022309,nan,B0BPLGMW1B,BETTINA SPONGE CELLULOSE 3 SCOURER,OLEVS Mens Watches Designer Calendar Dress Metal Stainless Steel Quartz Analog Waterproof Luminous Wrist Watch Gent Large,0.852,42.77,25.1916666666666,0.19993386243386202,100,1.0,1.0,1.0,25.1916666666666,1:1 Match,Weak evidence,Insufficient match evidence,False,0.18064516129032257
42,EXCLUDED,30,26102289587,4820184122314,B0D9W1S3Y5,DIWALI SOUP PLATE 20CM,"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",1.548,60.8,36.5566666666666,0.198677536231884,200,1.0,1.0,1.0,36.5566666666666,1:1 Match,Weak evidence,Insufficient match evidence,False,0.10891089108910891
43,EXCLUDED,30,5055706641137,717710483480,B0FGHZB8FM,DLUX PRO KLEEN 2 IN 1 MICROFIBRE FLAT MOP WITH HEAD CHENILLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",4.296,129.0,80.58,0.195108958837772,50,1.0,1.0,1.0,80.58,1:1 Match,Weak evidence,Insufficient match evidence,False,0.20717131474103587
44,EXCLUDED,30,6260573000843,5038061143195,B0BGK57HPC,OPAL SQUARE SOUP PLATE WHITE,"George Foreman Immersa Medium Electric Grill [Removable Control Panel allows grill machine to be fully washable & dishwasher safe, Energy saving, Healthy, Toastie, Panini, Hot plate, BBQ] Black 28310",1.02,49.5,27.0999999999999,0.193571428571428,400,1.0,1.0,1.0,27.0999999999999,1:1 Match,Weak evidence,Insufficient match evidence,False,0.16740088105726872
45,EXCLUDED,30,5012128554223,nan,B0CQP7TT72,GIFTMAKER AIR DRY CLAY ELF,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",0.876,39.99,24.63625,0.192470703125,50,1.0,1.0,1.0,24.63625,1:1 Match,Weak evidence,Insufficient match evidence,False,0.10112359550561797
46,FILTERED,40,5013174024821,705736243089,B0DL47ZJR2,ABBEY HAND SPRAY 750ML,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",1.236,50.99,30.1616666666666,0.190896624472573,100,1.0,487.0,487.0,-570.5343333333334,BUNDLE (487x) - LOSS,-,Unprofitable: Adj Profit=£-570.53,False,0.12290502793296089
47,EXCLUDED,30,5052579034968,nan,B07YWB6QGR,BETTINA SCOURER 6 MIXED SCOURERS,OLEVS Men Watch Leather Strap Classic Dress Large Face Analog Quartz Date Luminous Waterproof Gents Wrist Watch,0.804,38.77,23.1983333333333,0.19015027322404301,50,1.0,1.0,1.0,23.1983333333333,1:1 Match,Weak evidence,Insufficient match evidence,False,0.1958041958041958
48,EXCLUDED,30,5013174012392,717710483480,B0FGHZB8FM,WET FLOOR SIGNS ABBEY,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",4.44,129.0,80.46,0.18931764705882298,50,1.0,1.0,1.0,80.46,1:1 Match,Weak evidence,Insufficient match evidence,False,0.1320754716981132
49,EXCLUDED,30,8006540937594,4242003943359,B0BXLRLC9T,FAIRY WASHING UP LIQUID MAX POWER ORIGINAL 440ML PK8,"SIEMENS EQ6 plus S300, Fully Automatic Bean to Cup Espresso Coffee Machine with Cappuccinatore milk system, 11 beverages, Ceramic Grinder, Large Touchscreen Display, TE653M11GB, Titanium",14.772,381.65,241.011666666666,0.18741187143597698,200,1.0,1.0,1.0,241.011666666666,1:1 Match,Weak evidence,Insufficient match evidence,False,0.15966386554621848
50,EXCLUDED,30,8721037140904,723990880789,B07VHG2VGZ,DISHWASH BRUSH 3 ASSORTED COLOUR,OLEVS Mens Wrist Watches Ultra Thin 6.5mm Minimalist Business Dress Waterproof & Date & Leather Strap Slim Watches for Men,0.852,38.77,23.1583333333333,0.183796296296296,50,1.0,1.0,1.0,23.1583333333333,1:1 Match,Weak evidence,Insufficient match evidence,False,0.19480519480519481
51,EXCLUDED,30,5055319528559,nan,B0CNRQBMP8,PAINT FACTORY COLOUR IT SPRAY FLAT MATT WHITE 250ML,"Remote Control Car Building Set, 1:14 Technical Sports Racing Car Building Kit, with Motors and Rechargeable Battery, Toys Gift for Adults & Boys Age 12+ (1314 PCS)",1.476,54.99,32.335,0.181657303370786,200,1.0,1.0,1.0,32.335,1:1 Match,Weak evidence,Insufficient match evidence,False,0.13023255813953488
52,EXCLUDED,30,5010353324291,717710483480,B0FGHZB8FM,MINKY FLAT MOP,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",4.704,129.0,80.24,0.17950782997762801,50,1.0,1.0,1.0,80.24,1:1 Match,Weak evidence,Insufficient match evidence,False,0.08780487804878048
53,EXCLUDED,30,5050565833266,705736241986,B0DBHJ5Q25,CEMENT ANIMALS WITH SUCCULENT 4 ASSORTED,"Mould King W16 Engine Building Blocks Set, Combustion Engine Model That Runs, Mini Engine Build Kit for Adults with Battery and Motor, STEM Toy for Children Boys Girl(952 Pcs)",1.728,58.99,35.0783333333333,0.17627303182579498,100,1.0,1.0,1.0,35.0783333333333,1:1 Match,Weak evidence,Insufficient match evidence,False,0.22325581395348837
54,EXCLUDED,30,5030481680045,nan,B0FRFRH3SG,GLEAMAX DUSTPAN & BRUSH SILVER,"Wireless Gaming Headset for PS5, PS4, PC, Switch, Mac, 2.4 GHz Wireless & 5.4 Bluetooth Gaming Headphones with Mic ENC Noise Cancelling, 50mm Drivers, 3D Stereo Sound, 50H Battery, Foldable",0.744,33.99,20.49625,0.17518162393162298,100,1.0,1.0,1.0,20.49625,1:1 Match,Weak evidence,Insufficient match evidence,False,0.2009132420091324
55,EXCLUDED,30,8694169938483,nan,B07SG6C3BR,"IMPERIAL SOUP PLATE BLUE 8""","Denby - Imperial Blue Dinner Plates Set of 2 - Dishwasher Microwave Safe Crockery 26.5cm - Blue, White Ceramic Stoneware Tableware - Chip & Crack Resistant Large Plates",1.308,45.23,27.9879166666666,0.17065802845528402,50,1.0,2.0,2.0,26.6799166666666,BUNDLE (2x) - OK,Weak evidence,Insufficient match evidence,False,0.22564102564102564
56,EXCLUDED,30,5055706650139,nan,B07XWSM8XY,SOZALI KILPSEAL SQUARE CONTAINERS 2.0/1.2/0.7 LTR,"Square Terminal - Card reader for accepting Contactless, Chip & PIN, Debit Cards, and Credit Cards - Take payments, print receipts, and run your business - UK Version",4.776,117.89,76.5654166666666,0.16901857983811602,100,1.0,1.0,1.0,76.5654166666666,1:1 Match,Weak evidence,Insufficient match evidence,False,0.15813953488372093
57,EXCLUDED,30,3838952023870,4820184121324,B09LGTWHKF,PALOMA 2PLY IVORY 50 NAPKINS 40X40CM,"UGEARS Sky Watcher Tourbillon Table Clock - 3D Wooden Puzzles For Adults, Wooden Model Kits for Adults to Build - Astronomical Mechanical DIY 3D Puzzle Clock, 3D Puzzles Adult",1.872,60.15,35.635,0.16888625592417,100,1.0,1.0,1.0,35.635,1:1 Match,Weak evidence,Insufficient match evidence,False,0.13270142180094788
58,EXCLUDED,30,5414886342003,5054061498677,B0BKL45BG4,MULTI MIXER 22CM ASSORTED,"Progress EK5234PTEAL Go Bake Stand Mixer- Large Electric Whisk with 4L Stainless Steel Bowl, 8 Speeds and Pulse Function, Mixing Beater, Dough Hook, and Whisk Attachments, Splash Guard, 1300W, Teal",1.644,60.92,32.2366666666666,0.167899305555555,100,1.0,1.0,1.0,32.2366666666666,1:1 Match,Weak evidence,Insufficient match evidence,False,0.15315315315315314
59,EXCLUDED,30,8001565224988,nan,B0D9W1S3Y5,APAC RIBBON 2INCH 100 YARDS BABY PINK,"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",2.952,78.99,50.53125,0.16787790697674398,300,1.0,1.0,1.0,50.53125,1:1 Match,Weak evidence,Insufficient match evidence,False,0.17511520737327188
60,EXCLUDED,30,8001565224858,nan,B0D9W1S3Y5,APAC RIBBON 2INCH 100 YARDS PURPLE,"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",2.952,78.99,50.53125,0.16787790697674398,300,1.0,1.0,1.0,50.53125,1:1 Match,Weak evidence,Insufficient match evidence,False,0.12149532710280374
