PriorityRank,Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice,SellingPrice,NetProfit,ROI,Sales,Pack Verdict,Adjusted Profit,Key Match Evidence,Filter Reason,SourceSection
28,NEEDS VERIFICATION,70,ADIDAS DEODORANT PURE GAME MENS 150ML PK6,Set 6 ADIDAS Deodorant Spray 150 Ml Pure Game Hygiene And Body Care,3607345711782,7432509764764,B07DCXX17M,GBP 12.89,GBP 25.00,GBP 4.01,35.5%,50,Split candidate (0.17),GBP 14.75,-,EAN mismatch (verify which barcode/variant applies); Verify split/repack feasibility + unit-count,NEEDS VERIFICATION (count=429)
29,NEEDS VERIFICATION,70,CANDLE FACTORY SPIRAL CANDLE 2 IN GIFT BOX **,Heart & Home Twin Wick Candle and Carousel Gift Set - Vegan Friendly Soy Blend for Gifting and Home Fragrance,5050565207524,886767808215,B0DPCNV6LK,GBP 1.21,GBP 18.03,GBP 8.80,565.0%,50,1:1 Match,GBP 8.80,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
30,NEEDS VERIFICATION,70,PPS PLASTIC 4 CONTAINERS & LID RECT 650ML,"Caterserve 25 Takeaway Plastic Containers With lids 650ml - Microwave and Dishwasher safe - Ideal for Food storage and Meal Prep - BPA free,recyclable,reusable",50304811930217,5060659231885,B0BTZDR9GD,GBP 0.67,GBP 14.97,GBP 5.99,539.2%,300,Split candidate (0.25),GBP 6.49,Anchor=650ml,EAN conflict - verify barcode/variant/pack,NEEDS VERIFICATION (count=429)
31,NEEDS VERIFICATION,70,BRIGHT & HOMELY SAUCEPAN NON STICK COOKWARE SET 6PCS,"11Pcs Pots and Pans Set, Nonstick Cookware Sets, White Granite Induction Cookware Non Stick Cooking Set w/Frying Pans & Saucepans",5050796010283,-,B0FCBVZXPB,GBP 9.40,GBP 48.44,GBP 18.61,222.0%,50,Pack mismatch 1->1.83 (need 2 units),GBP 10.78,-,Verify unit-count/pack on Amazon listing,NEEDS VERIFICATION (count=429)
32,NEEDS VERIFICATION,70,GRIMALDI LA BELLA SAUCE PAN WITH LID 20CM,"Redchef Ceramic Nonstick Saucepan with Lid,20cm Small Cooking Pot,Non Toxic Sauce Pans for Kitchen, Cool Handle PFAS Free Compatible with All Cooktops, Green",5060923590700,-,B0DM82JXB8,GBP 8.99,GBP 35.99,GBP 11.23,139.7%,100,1:1 Match,GBP 11.23,Anchor=20cm,Confirm brand/pack/variant (1–2 details),NEEDS VERIFICATION (count=429)
33,NEEDS VERIFICATION,70,PPS PLASTIC 5 CONTAINERS & LID ROUND 650ML,"Caterserve 25 Takeaway Plastic Containers With lids 650ml - Microwave and Dishwasher safe - Ideal for Food storage and Meal Prep - BPA free,recyclable,reusable",5030481930232,5060659231885,B0BTZDR9GD,GBP 0.74,GBP 14.97,GBP 5.92,506.4%,300,Split candidate (0.20),GBP 6.52,Anchor=650ml,EAN conflict - verify barcode/variant/pack,NEEDS VERIFICATION (count=429)
34,NEEDS VERIFICATION,70,WOODEN ANIMAL PUZZLE,"Fisher-Price Toddler Toy Wooden Animal Puzzle, Shape-Sorting Activity with 13 Wood Pieces for Preschool Kids Ages 2+ Years, JFG10",5012866658719,194735295890,B0DLH93L1J,GBP 1.75,GBP 19.99,GBP 8.52,423.8%,50,1:1 Match,GBP 8.52,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
35,NEEDS VERIFICATION,70,CAROLINE 5 PLASTIC TUBS W/LIDS 650ML,"Caterserve 25 Takeaway Plastic Containers With lids 650ml - Microwave and Dishwasher safe - Ideal for Food storage and Meal Prep - BPA free,recyclable,reusable",5012145000710,-,B0BTZDR9GD,GBP 1.10,GBP 14.97,GBP 6.72,457.4%,300,1:1 Match,GBP 6.72,Anchor=650ml,Confirm brand/pack/variant (1–2 details),NEEDS VERIFICATION (count=429)
36,NEEDS VERIFICATION,70,ALUMINIUM FRYING PAN 26CM,"Tefal Comfort Max 26cm Stainless Steel Frying Pan, Durable Non-Stick Pan with Thermo-Spot Heat Indicator, Induction Compatible Base, Comfortable Grip Handle, G7260544",742288762521,3168430325869,B09K82CDFB,GBP 7.06,GBP 29.03,GBP 9.26,144.0%,400,1:1 Match,GBP 9.26,Brand partial; Anchor=26cm,EAN conflict - verify barcode/variant/pack,NEEDS VERIFICATION (count=429)
37,HIGHLY LIKELY,85,TEA TOWELS TERRY 3 PACK ASSORTED,"Kitchen Terry Tea Towel 100% Pure Cotton Absorbent Long Lasting Soft Touch Dish Towels, Tea Towels, Bar Towels (Pack of 4)",5026705064579,727266768184,B0798S43LM,GBP 1.53,GBP 7.99,GBP 1.10,60.2%,800,Pack mismatch 1->1.33 (need 2 units),GBP 0.59,-,-,HIGHLY LIKELY - RECOMMENDED (count=65)
38,HIGHLY LIKELY,85,TIDYZ BIN LINER BLACK 10 BAGS 50LTR,Tidyz 2 X 10 Wheelie Bin Extra Large Liners 300L Black Dustbin Rubbish Tip Refuse Sacks Waste Garbage Thick Big Bags Super Strong Heavy Duty Fits Bins 230 x 143cm,5025364002052,8800202193607,B07B656W3B,GBP 0.74,GBP 7.89,GBP 1.23,104.7%,700,Pack mismatch 1->2.00 (need 2 units),GBP 0.48,-,-,HIGHLY LIKELY - RECOMMENDED (count=65)
39,NEEDS VERIFICATION,70,WICKED STATIONERY BACKPACK,"WICKED Backpack, Glinda And Elphaba Girls Backpack, Girls School Bag, Kids School Bag",5015934923276,5056814619636,B0FKH5GWYL,GBP 2.89,GBP 19.99,GBP 7.72,260.8%,400,1:1 Match,GBP 7.72,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
40,NEEDS VERIFICATION,70,BLOCK TECH 50 BRICKS AND FIGURE,"Block Tech Drip Bear Black / Urban 252-Piece Building Brick Art Set for Kids Age 6+ / Cool Collectible Gift for Boys, Teens and Adults / Creative Construction Toy",5015934639801,-,B0FY6CSD9Q,GBP 1.01,GBP 14.99,GBP 6.82,490.5%,100,1:1 Match,GBP 6.82,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
41,HIGHLY LIKELY,70,SQUARE CONTAINER 500ML,"16oz Square Glass Food Storage Containers with Lids, 500ml Glass Meal Prep Container, Airtight Lunch Box for Kitchen Storage & Organisation, Microwave, Freezer and Dishwasher safe (4 Pack)",5050565759573,-,B0F9Y9J3XV,GBP 1.37,GBP 15.58,GBP 5.37,317.9%,50,Pack mismatch 1->4.00 (need 4 units),GBP 1.27,Anchor=500ml,Confirm brand/pack/variant (1–2 details),HIGHLY LIKELY - RECOMMENDED (count=65)
42,HIGHLY LIKELY,85,BACOFOIL ZIPPER BAGS ALL PURPOSE 12 PACK 1L (PM GBP 2.19),Bacofoil 3 x Zipper Small All Purpose Bags Food Freezing Storage Bags (45 Bags),5023139862917,-,B08FBJ59DR,GBP 1.03,GBP 9.96,GBP 2.93,207.8%,500,Pack mismatch 1->3.75 (need 4 units),GBP 0.09,-,confirm unit-count math (“3 x … (45 bags)”) and size equivalence (“1L” vs “Small”).,HIGHLY LIKELY - RECOMMENDED (count=65)
43,NEEDS VERIFICATION,70,CHRISTMAS PIPE CLEANERS 40PC,PLULON 60 Sets Christmas Crafts for Kids Christmas Beaded Ornament Kit Tri Beads with Pipe Cleaners Craft Bead Wreath Snowman Candy Cane for Xmas Party Tree Hanging Decorations,5056170340526,-,B0CLCBL6DT,GBP 0.60,GBP 12.89,GBP 5.67,540.0%,100,Split candidate (0.03),GBP 6.26,-,Verify split/repack feasibility + unit-count,NEEDS VERIFICATION (count=429)
44,NEEDS VERIFICATION,70,MASTER COOK DIE CAST CASSEROLE 24CM,"MasterClass Cast Aluminium Cream Casserole Dish, 24cm, 4 Litre, Gift Boxed",6945702110326,5057982093273,B0BT51TC8X,GBP 20.16,GBP 48.99,GBP 11.26,64.9%,50,1:1 Match,GBP 11.26,Brand partial; Anchor=24cm,EAN conflict - verify barcode/variant/pack,NEEDS VERIFICATION (count=429)
45,NEEDS VERIFICATION,70,BLOCK TECH MINI BUILDZ ASSORTED,"Block Tech Drip Bear Black / Urban 252-Piece Building Brick Art Set for Kids Age 6+ / Cool Collectible Gift for Boys, Teens and Adults / Creative Construction Toy",5015934804230,-,B0FY6CSD9Q,GBP 1.06,GBP 14.99,GBP 6.78,474.0%,100,1:1 Match,GBP 6.78,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
46,HIGHLY LIKELY,85,CAR PRIDE CAR VENT AIR FRESHENER VANILLA COCOA 4ML PACK OF 2,"SCENTORINI Car Air Freshener, Vent Clip, 2 Fragrance, Cotton, Vanilla for Cars, New Car Smell, Adjustable Scent Strength, Cars Perfume Air Freshener 6 Pack",5053249281827,-,B0DRNZ7P94,GBP 1.37,GBP 11.69,GBP 4.18,247.4%,100,Pack mismatch 1->3.00 (need 3 units),GBP 1.44,-,-,HIGHLY LIKELY - RECOMMENDED (count=65)
47,HIGHLY LIKELY,85,ALL PURPOSE CLEANING PET WIPES 40 PACK,X 60 Pack All Purpose PET WIPES for daily Cleaning of your Dogs and Cats Deodorizing ALCOHOL FREE and WET Moist Dog Paw Cleaner & Dog Ear Cleaner Wipes Pack (240 Wipes),-,-,B08LML3X1N,GBP 0.88,GBP 9.79,GBP 2.15,167.8%,200,Pack mismatch 1->1.50 (need 2 units),GBP 1.71,-,-,HIGHLY LIKELY - RECOMMENDED (count=65)
48,HIGHLY LIKELY,85,ADDIS CLIP TIGHT RECTANGLE FOOD BOX 1.1L,"Addis Clip Tight Food Storage Container Large 5.3 Litre Rectangle Airtight Silicone Seal Containers Bpa Free Easy Locking Lid Clips, Clear Transparent",5010303186269,-,B0DCGHNZQS,GBP 2.11,GBP 9.99,GBP 2.36,102.0%,200,1:1 Match,GBP 2.36,-,-,HIGHLY LIKELY - RECOMMENDED (count=65)
49,NEEDS VERIFICATION,70,GREENFIELDS 20CM PLANT POT,"20cm, 18cm, 16cm Plastic Plant Pots, Plant Pots with Drainage Holes and Saucers, A Set of 3 Flower Pots, Modern Decorative Planters, Blue",5014348229004,-,B0DJ38DJ6D,GBP 0.94,GBP 15.99,GBP 7.59,570.4%,50,Pack mismatch 1->3.00 (need 3 units),GBP 5.71,-,Verify unit-count/pack on Amazon listing,NEEDS VERIFICATION (count=429)
50,NEEDS VERIFICATION,70,GRIMALDI MAXISTONE WOK 28CM,nuovva Non-Stick Wok Pan with Glass Lid- Deep Stir Fry Pan with Induction Base - 28cm Frying Pan with Detachable Handle,5060748076922,5060659231212,B08WH6TVYL,GBP 10.08,GBP 29.99,GBP 8.09,90.4%,500,1:1 Match,GBP 8.09,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
51,NEEDS VERIFICATION,70,INCENSE STICKS SACRED WOOD PACK OF 12,"Natural Incense Sticks Multipack Variants - 5 (90 gms) Charcoal Free Incense Stick, Made from Upcycled Flowers / Sacred InsensÃ© Sticks from all Cultures (Scented Sticks)",5024418660859,-,B0CN2XTXX1,GBP 5.64,GBP 12.95,GBP 1.51,28.8%,900,Split candidate (0.08),GBP 6.68,-,Verify split/repack feasibility + unit-count,NEEDS VERIFICATION (count=429)
52,HIGHLY LIKELY,85,STORAGE BASKET 25X15X12CM,"Woodluv Storage Baskets, Storage baskets for shelves Woven, Wicker Storage Boxes Medium, Storage Organiser Basket 38 x 25 x 15 (H) cm",5024418520788,5060414800899,B0CRM6PJGQ,GBP 1.75,GBP 11.99,GBP 1.31,65.3%,50,Split candidate (0.00),GBP 3.06,-,-,HIGHLY LIKELY - RECOMMENDED (count=65)
53,NEEDS VERIFICATION,70,BOWL GLASS FLOWER 15CM 4 ASSORTED COLOURS,"YOUEON 4 Pack Small Glass Bubble Bowl Vases, 15 cm Glass Terrarium Bowls Fish Bowls, Round Candle Holders, Globe Flower Vase Centerpiece for Wedding Event Home Decor",8721037513562,-,B094QZQXS4,GBP 1.33,GBP 23.99,GBP 9.39,565.8%,50,Pack mismatch 1->4.00 (need 4 units),GBP 5.40,-,Verify unit-count/pack on Amazon listing,NEEDS VERIFICATION (count=429)
54,NEEDS VERIFICATION,70,BLACKSPUR WINDOW INSULATION KIT,"1.6m x 10m Window Insulation Kit, Plastic Clear Film, Tear Resistant Heat Shrink Window Film with Double-Side Tape for Winterizing and Keeping Cold Out",5017403135388,-,B0FCBVT881,GBP 1.21,GBP 13.99,GBP 5.94,381.4%,300,1:1 Match,GBP 5.94,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
55,NEEDS VERIFICATION,85,BLUE CANYON FLATLINE TOWEL BAR 60CM,"SKYLEO LED Desk Lamp - Double Head Desk Light with Remote Control - Eye Protection, 2400 LM, 24W, 5 Color Modes, Timing & Memory, Easy to Install - Suitable for Office, Reading, Drawing - Black",5056295710518,737879468401,B0DHYTRRLV,GBP 15.38,GBP 37.73,GBP 9.05,67.7%,300,1:1 Match,GBP 9.05,-,Verify product identity/variant/pack on Amazon listing,NEEDS VERIFICATION (count=429)
56,HIGHLY LIKELY,85,BRIGHT & HOMELY TEALIGHT CANDLES 30 PACK 5 HOUR BURN TIME,"Unscented Tea Lights,8 Hour Burn Time (3.8cm D x 1.8cm H),Smoke-Free,Clean Bright Flame - Long-Lasting Wax Tealight Candles, Ideal for Weddings,Home DÃ©cor,Aromatherapy (Pack of 100)",5050796010023,-,B0DPXJL1B9,GBP 1.68,GBP 12.99,GBP 4.84,248.3%,50,Pack mismatch 1->3.33 (need 4 units),GBP 0.92,-,-,HIGHLY LIKELY - RECOMMENDED (count=65)
57,NEEDS VERIFICATION,70,FIRST STEPS BABY BOTTLE JUNGLE ASSORTED,NUK First Choice+ Baby Bottles / 0-6 Months / 300 ml / Anti-Colic Bottles with Orthodontic Silicone Teat / Temperature Control / BPA-Free / Grey & White / 3 Count,5015302105495,4008600367994,B088S8BXN9,GBP 1.04,GBP 14.89,GBP 5.63,396.4%,300,1:1 Match,GBP 5.63,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
58,HIGHLY LIKELY,80,GEL TOE PROTECTORS,"16 Pcs Gel Toe Protectors, Silicone Toe Cover Protector for Men & Women Running, Walking, Prevent Blister, Corn, Calluses, Sore Toes, Hammer Toes Prevent Friction Injury",5060345207798,-,B09JLTP2ZY,GBP 1.21,GBP 5.67,GBP 0.05,3.10,700,1:1 Match,GBP 0.05,RowID=3003; EAN evidence in Appendix; EAN missing/invalid/untrusted on one side; Supplier brand token='gel'; Brand appears in Amazon title; Unique anchor='protectors',-,HIGHLY LIKELY - RECOMMENDED (count=65)
